Doc,Abstract
71,"The proceedings contain 481 papers. The special focus in this conference is on Developments, Technologies, Knowledge, Benefits, and Services of America's Information System. The topics include: Knowledge goals as an essential component of knowledge management; the impact of culture on the enterprise systems adoption in Japan and the U.S.; IT governance for e-health applications; developing sustainable IT-related capabilities; smart-board technology integration in teaching; model for the benefit analysis of ICT; a survey of cognitive theories to support data integration; women managers in high tech; a design theory for knowledge transfer in business intelligence; the perceived uniqueness of the IS profession; IT governance in collaborative organizational structures; power interactions in enterprise system assimilation; a typology of positive and negative self-interruptions in voluntary multitasking; business intelligence maturity in Australia; a nursing diagnosis decision aid adoption assessment; a user centric typology of IS requirements; social movements in World of Warcraft; perceptions of sunk cost and habitual IS use; IS architecture characteristics as a measure of IT agility; the effects of ICT pervasiveness on administrative corruption; collaborative learning in software development teams; demand management in the smart grid; software characteristics of B2B electronic intermediaries; model to support Enterprise Resource Planning system selection; maintenance trends in ERP systems; the role of dynamic capabilities in creating business value from IS assets; spatial analysis of the global digital divide; different configurations of flexibility for I/S strategic alignment; towards objectives-based process redesign; model for measuring efficiency of Argentina banks; the effect of CRM system on sales management control; towards a design for IT performance management; Web 3.0 and crowd servicing; inherence of ratios for service identification and evaluation; Information Communication Technology adoption in Moroccan small and medium enterprises; dynamic capabilities and business processes; understanding artifact knowledge in design science; using real options in ERP-systems for improving delivery reliability; inter-organizational integration of smart objects; risk and compliance management for cloud computing services; a comprehensive information model for business change projects; experiential learning in second life; organizational participation in open communities; organizational social media around the GLOBE; structural stability and virtual team performance; the impact of IT governance on organizational performance; analysing knowledge-based growth; designing viable security solutions; factors affecting impact of cloud computing announcements on firm valuation; toward a maturity model for DSS development processes; a meta-model ontology based on scenarios; key influencing factors of information systems quality and success in Jamaican organizations; the state of the art of service description languages; agile software development; revenue streams of cloud-based platforms; IT outsourcing as a source of open innovation; using IS/IT valuation methods in practice; working toward optimal pair programming management and environment; the role of Business Intelligence (BI) in service innovation; management of information systems outsourcing; autonomy and electronic health records; the impact of e-service quality on e-commerce; medical errors and information quality; a model for assessing the performance of virtual teams; knowledge as a contingency factor in virtual organizations; individual knowledge sharing behaviour in organizations; sustainable business transformation; towards a life cycle oriented business intelligence success model; adoption of cloud computing in organizations; conceptualizing knowledge utilization; detecting community influence echelons in Twitter network; team collaboration in virtual worlds; building sustainable collaborative networks; towards an enterprise software component ontology; business modelling for services; a cultural sociology perspective on IT occupational culture; social network sites and digital word of mouth; learning object composition; measuring innovation using business intelligence dashboards; examining SNS adoption through motivational lens; business intelligence in corporate risk management; business and IT aspects of wireless enabled healthcare solutions; developing a dichotomy of information privacy concerns; self-selected identity and social capital in social network sites; developing data marts for healthcare; developing a theory driven view of web based homework; evaluating design solutions using crowds; examining ethical decision making behaviour in e-learning systems; data mining meets decision making; networking skills and hiring managers; a text-based model for identifying online trust relationships and a threat tree for health information security and privacy."
72,"Even the most innovative healthcare technologies provide patient benefits only when adopted by clinicians and/or patients in actual practice. Yet realizing optimal positive impact from a new technology for the widest range of individuals who would benefit remains elusive. In software and new product development, iterative rapid-cycle 'agile' methods more rapidly provide value, mitigate failure risks, and adapt to customer feedback. Co-development between builders and customers is a key agile principle. But how does one accomplish co-development with busy clinicians? In this paper, we discuss four practical agile co-development practices found helpful clinically: (1) User stories for lightweight requirements; (2) Time-boxed development for collaborative design and prompt course correction; (3) Automated acceptance test driven development, with clinician-vetted specifications; and (4) Monitoring of clinician interactions after release, for rapid-cycle product adaptation and evolution. In the coming wave of innovation in healthcare apps ushered in by open APIs to EHRs, learning rapidly what new product features work well for clinicians and patients will become even more crucial. © 2017 IEEE."
73,"Background: Human morphology is a critical component of dental and medical graduate training. Innovations in basic science teaching methods are needed to keep up with an ever-changing landscape of technology. The purpose of this study was to investigate whether students in a medical and dental histology course would have better grades if they used gaming software Kahoot® and whether gamification effects on learning and enjoyment. Methods: In an effort to both evoke students' interest and expand their skill retention, an online competition using Kahoot® was implemented for first-year students in 2018 (n = 215) at the University of Eastern Finland. Additionally, closed (160/215) or open-ended (41/215) feedback questions were collected and analyzed. Results: The Kahoot® gamification program was successful and resulted in learning gains. The overall participant satisfaction using Kahoot® was high, with students (124/160) indicating that gamification increased their motivation to learn. The gaming approach seemed to enable the students to overcome individual difficulties (139/160) and to set up collaboration (107/160); furthermore, gamification promoted interest (109/160), and the respondents found the immediate feedback from senior professionals to be positive (146/160). In the open-ended survey, the students (23/41) viewed collaborative team- and gamification-based learning positively. Conclusion: This study lends support to the use of gamification in the teaching of histology and may provide a foundation for designing a gamification-integrated curriculum across healthcare disciplines. © 2019 The Author(s)."
74,"The continuous creation and development of new medicinal products not only provide considerable future benefits to human healthcare, but also are critical to the growth and profitability of the biopharmaceutical industry. Among these new products, regenerative medicines (RMs) can potentially address many currently unmet medical needs. The field of RM includes a rapidly expanding set of innovative medical technologies that restore function by allowing the body to repair, replace, and regenerate damaged, ageing or diseased cells, tissues and organs. In spite of this potential, many companies seeking to commercialise RM technologies are struggling to raise the necessary capital. RM companies that wish to prosper in such a resource-constrained environment need to develop new business models and funding strategies. Innovative funding strategies include pursuing alternative sources of funding: (1) governmental and not-for-profit funds; (2) corporate venture funds that pursue strategic returns; (3) partnership deals with pharmaceutical companies; (4) funding through partnerships and mergers; and (5) out-licensing non-core technology or providing consulting or laboratory services. Companies can also follow a capital-efficient business models by focusing and conserving resources with: (1) the extension of technology development in an academic setting; (2) the reduction of the infrastructure and staffing; and (3) the funding of only core projects. Companies can collaborate and leverage shared resources by outsourcing components of their development to expert partners (e.g. CROs, CMOs or Regenerative Medicine Translation Centres) in a possible open innovation environment. Notwithstanding the substantial challenges that the emerging RM companies are currently facing, companies can increase their chances for success by pursuing collaborative, capital-efficient business models and alternate funding strategies. © 2015 John Wiley & Sons, Ltd. All rights reserved."
75,"The Innovation and Value Initiative started the Open-Source Value Project with the aim to improve the credibility and relevance of model-based value assessment in the context of the US healthcare environment. As a core activity of the Open-Source Value Project, the Innovation and Value Initiative develops and provides access to flexible open-source economic models that are developed iteratively based on public feedback and input. In this article, we describe our experience to date with the development of two currently released, Open-Source Value Project models, one in rheumatoid arthritis and one in epidermal growth factor receptor-positive non-small-cell lung cancer. We developed both Open-Source Value Project models using the statistical programming language R instead of spreadsheet software (i.e., Excel), which allows the models to capture multiple model structures, model sequential treatment with individual patient simulations, and improve integration with formal evidence synthesis. By developing the models in R, we were also able to use version control systems to manage changes to the source code, which is needed for iterative and collaborative model development. Similarly, Open-Source Value Project models are freely available to the public to provide maximum transparency and facilitate collaboration. Development of the rheumatoid arthritis and non-small-cell lung cancer model platforms has presented multiple challenges. The development of multiple components of the model platform tailored to different audiences, including web interfaces, required more resources than a cost-effectiveness analysis for a publication would. Furthermore, we faced methodological hurdles, in particular related to the incorporation of multiple competing model structures and novel elements of value. The iterative development based on public feedback also posed some challenges during the review phase, where methodological experts did not always understand feedback from clinicians and vice versa. Response to the Open-Source Value Project by the modeling community and patient organizations has been positive, but feedback from US decision makers has been limited to date. As we progress with this project, we hope to learn more about the feasibility, benefits, and challenges of an open-source and collaborative approach to model development for value assessment. © 2019, The Author(s)."
76,"Background: Research and development at the edge of micro & nano electronics, nanotechnologies, photonics, materials and biotechnology and their integration into smart miniaturised systems open new opportunities for better quality of life. The area has received substantial public funding and support from the late 90s from the European Union Research Framework Programmes, including the currently running Horizon 2020. We undertook data collection, clustering and analysis of 119 projects (with about 500 M€ EU funding and 890 public and private organisations) covering the area of Micro-Nano-Bio-info technologies and Systems (MNBS) to document the allocation of public money spent on research, development and innovation in this field, to identify synergies, gaps and major trends as well as to verify the alignment with the relevant EU policies and define future challenges and next opportunities for support. Methodology: The projects, funded through several topics of the EC programmes, e.g. Bio-electronics, Biophotonics, Nanomedicine and Healthcare & Well-Being, have been clustered through a semi-automated process based on text mining, using RapidMiner software, with the text describing the projects and their tasks as the input. Text mining-based clustering is grounded in the words contained in the documents provided, and includes basically 2 steps: (i) document pre-processing and (ii) document clustering based on the word frequencies. The hierarchical clustering obtained provide us information related to the proximity of the projects with regard to the meaningful words related to the technologies, processes, applications, etc., which have been kept. This type of grouping provides certainty that projects are grouped with the closest projects in terms of overall content (e.g. objectives, tasks and technologies involved). Results: Classification: Eleven differentiated project categories have been defined, each containing from 6 to 17 projects. These categories can be further re-grouped in broader categories in several ways depending on the purpose, e.g. considering the link to either in-vivo (patient-centred devices) or in-vitro (portable devices and systems and analytical detection platforms) applications, to the level of portability (portable devices vs. platforms), or to the manufacturing importance. Participating (EU and non-EU) organisations include research and academic (37%), private companies (56%), end-users e.g. hospitals or clinical related institutions (4,7%) as well as public authorities and endusers associations in health, food and environment sectors (2,3%). Participation: The participants come from European countries and from Russia, Australia, Japan and the United States. The EU funding is spread all over Europe, though higher concentration is observed in the Western part of Europe. Driving forces: the large majority of projects is driven by two main requirements i.e. avoid the use of specialized laboratory-based (mainly hospital-centred), skilled labour-handled, expensive and time-consuming bio-samples and data analysis; and achieve lower cost, quasi-real-time monitoring or analysis using non-specialized infrastructures, at the Point of Care/Need (out-of-lab). Achievements and Challenges: overall the projects have delivered significant technological progress beyond the state-of-the-art and in some cases integrated prototypes have been validated at the laboratory and in fewer cases tested in real application environments. However, further R&D effort is needed in order to achieve better and compatible interfaces, higher system integration and technology readiness level, better connectivity, efficient manufacturing processes & technologies and validation in real application conditions. Additionally, a critical collaborative effort should be put on effective technology translation of research into new products, speeding up product development, market introduction and cost reduction. This should encompass product design, supply chain setup, user targeting, clinical validation, manufacturing and commercial roll-out. Conclusion: The projects′ portfolio analysis allowed sizing the EU funding and clustering of MNBS research and innovation activities, as well as identifying synergies, major trends, gaps and lessons to be learned for future public investment. Supporting further system integration and validation in real life environments as well as the creation of collaborative interdisciplinary platforms and innovation ecosystems will strongly contribute to new business and markets. It will accelerate the digitization of the European industry in key sectors like healthcare, food and security and support innovation through the full supply chains, thus will positively impact the EU's single market fit for the digital age. © 2016 Bentham Science Publishers."
77,"Research on open innovation refers to a model in which innovation is driven by the needs of the customer. In the healthcare sector, healthcare organisations are often the core customers for companies that want to use e-health solutions to improve patient care and cost efficiency. We examined the impact of coupled open innovation on companies' business models. Co-creation between network actors was carried out in a demand-driven manner based on the needs of healthcare professionals. We present the initial findings of a longitudinal case -study in an international setting. The research generated a new, collaborative, open business modelling framework for fact-based value creation that supports companies in the challenging task of exploring economically viable business opportunities. Our paper contributes to the knowledge management and open business model literatures by providing empirical knowledge on the impact of coupled open innovation in the company business models in the knowledge-based economy. © 2020 Journal of Innovation Management. All rights reserved."
78,"The proceedings contain 481 papers. The special focus in this conference is on Developments, Technologies, Knowledge, Benefits and Services of America's Information System. The topics include: Knowledge goals as an essential component of knowledge management; the impact of culture on the enterprise systems adoption in Japan and the U.S.; IT governance for e-health applications; developing sustainable IT-related capabilities; smart-board technology integration in teaching; model for the benefit analysis of ICT; a survey of cognitive theories to support data integration; women managers in high tech; a design theory for knowledge transfer in business intelligence; the perceived uniqueness of the IS profession; IT governance in collaborative organizational structures; power interactions in enterprise system assimilation; a typology of positive and negative self-interruptions in voluntary multitasking; business intelligence maturity in Australia; a nursing diagnosis decision aid adoption assessment; a user centric typology of IS requirements; social movements in World of Warcraft; perceptions of sunk cost and habitual IS use; IS architecture characteristics as a measure of IT agility; the effects of ICT pervasiveness on administrative corruption; collaborative learning in software development teams; demand management in the smart grid; software characteristics of B2B electronic intermediaries; model to support Enterprise Resource Planning system selection; maintenance trends in ERP systems; the role of dynamic capabilities in creating business value from IS assets; spatial analysis of the global digital divide; different configurations of flexibility for I/S strategic alignment; towards objectives-based process redesign; model for measuring efficiency of Argentina banks; the effect of CRM system on sales management control; towards a design for IT performance management; Web 3.0 and crowd servicing; inherence of ratios for service identification and evaluation; Information Communication Technology adoption in Moroccan small and medium enterprises; dynamic capabilities and business processes; understanding artifact knowledge in design science; using real options in ERP-systems for improving delivery reliability; inter-organizational integration of smart objects; risk and compliance management for cloud computing services; a comprehensive information model for business change projects; experiential learning in second life; organizational participation in open communities; organizational social media around the GLOBE; structural stability and virtual team performance; the impact of IT governance on organizational performance; analysing knowledge-based growth; designing viable security solutions; factors affecting impact of cloud computing announcements on firm valuation; toward a maturity model for DSS development processes; a meta-model ontology based on scenarios; key influencing factors of information systems quality and success in Jamaican organizations; the state of the art of service description languages; agile software development; revenue streams of cloud-based platforms; IT outsourcing as a source of open innovation; using IS/IT valuation methods in practice; working toward optimal pair programming management and environment; the role of Business Intelligence (BI) in service innovation; management of information systems outsourcing; autonomy and electronic health records; the impact of e-service quality on e-commerce; medical errors and information quality; a model for assessing the performance of virtual teams; knowledge as a contingency factor in virtual organizations; individual knowledge sharing behaviour in organizations; sustainable business transformation; towards a life cycle oriented business intelligence success model; adoption of cloud computing in organizations; conceptualizing knowledge utilization; detecting community influence echelons in Twitter network; team collaboration in virtual worlds; building sustainable collaborative networks; towards an enterprise software component ontology; business modelling for services; a cultural sociology perspective on IT occupational culture; social network sites and digital word of mouth; learning object composition; measuring innovation using business intelligence dashboards; examining SNS adoption through motivational lens; business intelligence in corporate risk management; business and IT aspects of wireless enabled healthcare solutions; developing a dichotomy of information privacy concerns; self-selected identity and social capital in social network sites; developing data marts for healthcare; developing a theory driven view of web based homework; evaluating design solutions using crowds; examining ethical decision making behaviour in e-learning systems; data mining meets decision making; networking skills and hiring managers; a text-based model for identifying online trust relationships and a threat tree for health information security and privacy."
79,"The proceedings contain 320 papers. The special focus in this conference is on Information Systems. The topics include: Computing requirements in open source software projects; a comparison of nonlinear pricing preference models for digital services; a computational approach to detecting and assessing sustainability-related communities in social media; a conceptualisation of management situations relevant for collaborative is research projects; a conceptualization of complexity in IS-driven organizational transformations; information security collective efficacy and vulnerability; a cross-sectional and temporal analysis of information consumption on twitter; a measurement model for investigating digital natives and their organisational behaviour; a model of product design and information disclosure investments; a problem-solving perspective on governance and product design in open source software projects; a qualitative approach to examine technology acceptance; a sensemaking approach to tablet users' accommodating practices; a systems approach to countermeasures in credibility assessment interviews; aligning business and it strategies in multi-business organizations; an empirical examination of users' information hiding in a crowdfunding context; an empirical investigation of a user-centric typology of innovation for evolving information systems products; an exploration of group information security compliance; an information quality evaluation framework of object tracking systems; an ontology artifact for information systems sentiment analysis; visualising perspectives of business and information systems; attention trade-off between two types of user contributions; the effects of user- and marketer-generated content on purchase decision processes; boundary spanning through enterprise social software; investment management systems and new institutional logics for regulatory compliance; bundling of software products and services to fight against piracy; capturing multi-stakeholder needs in customer-centric cloud service design; an empirical analysis of the impact of formal controls in strategic outsourcing contracts; cloud computing providers' unrealistic optimism regarding it security risks; cognitive biases in new technology appropriation; collective intelligence in market-based social decision making; comparing peer influences in large social networks - an empirical study on caller ringback tone; computer mediated social ties as predictors of SNS usage continuance; conceptualizing unexpected events in IT projects; coordinating one-to-many concurrent negotiation for service provision; counteracting the negative effect of form auto-completion on the privacy calculus; creating engaging student to student engagement in an online class; unpacking the building blocks of crowdsourcing collaboration processes; defining boundaries of web ads' perceptual fluency effect; designing business models for platform as a service; designing e-services for an ageing society; designing the modern ICT curriculum; developing a procedure model for business process standardization; developing and measuring IS scales using item response theory; digital traces of information systems; discursive meaning creation in crowdfunding; driving innovation and knowledge management using crowdsourcing; interplay of EA design factors, strategy types, and environments; effective sentiment analysis of corporate financial reports; eliminating failure by learning from it -systematic review of is project failure; navigating the ambiguity of materiality through collective design; enhancing shared understanding in collaborative online shopping; evaluating a new pattern development process for interface design; evaluating the quality of technology-mediated learning services; evolving the modular layered architecture in digital innovation; executive doctorate programs and the role of the information systems discipline; exploring foundations for using simulations in is research; exploring the customer perspective of agile development; exploring the effect of arousal and valence on mouse interaction; fit between knowledge transfer complexity and media capability; the impact of information pricing strategy on the pattern and effectiveness of word-of-mouth via social media; from open source to commercial software development - the community based software development model; some thoughts on technology implementation practice; a point of concern to IS use models' validity; how channel choice and service failure influence customer satisfaction; how customers trust mobile marketing applications; how E-consumers integrate diverse recommendations from multiple sources; how team cohesion leads to attitude change in the context of ERP learning; understanding reconfigurations of information systems and organizations in the Norwegian health sector; identifying patterns of idea diffusion in innovator networks; the missing link between it affordances and institutions for better health care in developing countries; impacts of creolization on trust and knowledge sharing in it-enabled global services sourcing; impacts of IT acceptance and resistance behaviors; implications of monitoring mechanisms on bring your own device (BYOD) adoption; improved medication compliance through health IT; improving medical decision-making using electronic health record systems; improving the semantics of conceptual-modeling grammars; inciting networks effects through platform authority; individual values for protecting identity in social networks; individualization of information systems - analyzing antecedents of IT consumerization behavior; information architecture for healthcare organizations; its antecedents and mediating effects on security compliant behavior; information system strategy for opportunity discovery and exploitation; information systems development outsourcing; institutionalization and the effectiveness of enterprise architecture management; internet use and well-being of young adults; investigating mobile messaging in healthcare organizations; different firm types, different alignment configurations; developing valid measures through CFA-based MTMM analysis; IT-enabled performative spaces in gender segregated work; knowledge contribution motivators - an expectation-confirmation approach; legitimating user participation in mature organisations- exploring social media adoption in a financial services organization; an analysis of the impact of mobile micro-blogging on communication and decision-making; mobile app portfolio management and developers' performance; mobile applications and access to personal information; mobile commerce in the new tablet economy; multi-agent based information systems for patient coordination in hospitals; network analysis for predicting academic impact; network diversity and social cohesion in creative performance; on the importance of organisational culture and structure in business process maturity; one-way mirrors and weak-signaling in online dating; online and offline sales channels for enterprise software; online health information use by disabled people; optimal information technology service pricing and capacity decision under service-level agreement; optimal location of charging stations in smart cities; organizational learning and the error of fixed strategies in IT innovation investment evaluation; pathways to value from business analytics; patients' adherence to health advice on virtual communities; peer-based quality assurance in information systems development; their effect on extracurricular work behaviors among IT professionals; success and reciprocity on crowdfunding platforms; predictive validity and formative measurement in structural equation modeling; preventive adoption of information security behaviors; understanding factors contributing to the escalation of software maintenance costs; privacy controls and content sharing patterns of online social network users; psychological empowerment of patients with chronic diseases; purposive selection and the quality of qualitative IS research; quality-adjusted consumer surplus for online labor markets with asymmetric information; quantifying the dynamic sales impact of location-based mobile promotion technologies; is-enabled political decision support with scenario analyses for the substitution of fossil fuels; information technologies and the possibility for imagination; roles of trust in privacy assurance and perceived disease severity on personal health information disclosure; selecting project management methodologies for business intelligence projects - a value based approach; service failure complaints identification in social media; role of social distance and social norms in online referral incentive systems; social media and citizen social movement process for political change; software developers' online chat as an intra-firm mechanism for sharing ephemeral knowledge; sources of power and CIO influence and their impact; statistical modeling of nanotechnology knowledge diffusion networks; systems of transfiguration and the adoption of IT under surveillance; taking a new-generation manager perspective to develop interface designs; task-technology fit for low-literate consumers; team adaptability in agile information systems development; technology, interoperability, and provision of public safety networks; the architecture of generativity in a digital ecosystem; the design of a network-based model for business performance prediction; the design of a tangible user interface for a real-time strategy game; the differences between recommender technologies in their impact on sales diversity; the dynamics of IS adaptation in multinational corporations; the emergence of social media as boundary objects in crisis response; the establishment of social IT sourcing organizations."
80,"mHealth4Afrika is a collaborative research and innovation project, co-funded under Horizon 2020, that is evaluating the potential impact of co-designing an open source, multilingual mHealth platform on the quality of maternal and newborn healthcare delivery in rural and deep rural clinics. This paper presents results from a comprehensive baseline study carried out with 40 informants from the leadership of 19 healthcare clinics in Northern Ethiopia, Western Kenya, Southern Malawi and Eastern Cape, South Africa during November - December 2015, using focus groups and semi-structured interviews. These findings identified human resource capacity, environmental, practical and technical challenges, and equipment and infrastructure deficits. Training requirements of healthcare workers were also identified. Constraints identified include the need for: intuitive, easy-to-use user interfaces to reduce the need for extensive training; use of flexible data protocols to facilitate cost effective bandwidth and effective data exchange; cost effective; low power consumption technologies to reduce cost of replication and scaling; solar charging units to increase availability; support for sensors and telemedicine due to a deficit of healthcare professionals in rural and deep rural clinics; and the need for easy configuration and adaptation to facilitate wider adoption. This insight will be used to inform co-design of the mHealth4Afrika platform during 2016-2018, based on user-centered design principles, leveraging current state-of-the-art in terms of electronic patient record systems and medical sensors. It will also inform the minimum ICT infrastructure required in each clinic. The expected outcome is a multi-region proof of concept that can make a significant contribution in accelerating exploitation of mHealth across Africa. © 2016 IEEE."
81,"The proceedings contain 572 papers. The special focus in this conference is on Information Systems. The topics include: Health diagnosis of communities of practices (CoPs); open source alternatives for business intelligence; identifying business process activity mappings by optimizing behavioral similarity; hanging with the right crowd; a taxonomy of web-based inbound open innovation initiatives; database intrusion detection: defending against the insider threat; an empirical study of the GIGO axiom in satisficing decisions; analysis of probabilistic news recommender systems; the influence of technology characteristics on privacy calculus; instant messaging privacy in the clouds; towards a component-based description of business models; two-sided cybermediary platforms; an integrative analysis of transactional e-government web usage; facebook usage in government-a case study of information content; deriving business value from asymmetric penalty-reward perspectives of IS users; create attention to attract attention-viral marketing of digital music in social networks; towards a framework for transforming business models into business processes; factors affecting perceived satisfaction with a BPM tool; hypercompetition in the Erp industry; structural flaws in the ethics of technology; ethical considerations for virtual worlds; personality, gender and careers in information technology; on IT control weaknesses in auditors' reports on internal control; effect of the SOX act on IT governance; the influence of general sustainability attitudes and value congruence on consumer behavior; user privacy in mobile advertising; system learning of user interactions; deploying mission critical learning management system using open source software; theorizing the dual role of information technology in technostress research; boundary spanning in business process management; ERP usability and the mangle of practice; direct manipulation tablet apps for education; comparing graphical and tangible user interfaces for a tower defense game; visual perception model for online target marketing; eye movements, perceptions, and performance; individual relationships with technology; internal audit function response to ERP systems implementation; auditing journal entries using self-organizing map; consumer perceptions of the adoption of electronic personal health records; investigating the reciprocal relationships within health virtual communities; designing and visualising healthcare delivery systems; how multinational firms use IT to manage their global operations; conflict, value diversity, and performance in virtual teams; mobile ICT and knowledge sharing in underserved communities; agile decision making framework to support mobile microloans for unbanked customers; the analysis of the telecommunications industry in Thailand; the business value of knowledge management; providing information feedback to bidders in online multi-unit combinatorial auctions; spatial modeling using agents; using probabilistic ontologies for video exploration; new directions, new challenges, and new understandings; function-based categorization of online product information types; exploring antecedents of habit on social network service; personality correlation analysis and applications in social networks; identifying experts in virtual forecasting communities; black males in IT higher education in the USA; technology features, empowering perceptions, and voicing behavior on microblog; information security policy compliance; a preliminary taxonomy for software failure impact; an examination of the success of post-merger IT integration; an analysis of and perspective on the information security maturity model; geographic information systems and the nonprofit sector; effectiveness of shallow hierarchies for document stores; a methodology for the development of web-based information systems; balanced resource allocation; demand response in smart grids; decision support for electric vehicle charging; the expectations for faculty in Latin America; mastering the social IT/Business Alignment Challenge; supply chain resource planning systems; towards a research framework for VLBA operation management; integrating enterprise system's 3rd wave into IS curriculum; a two-tier data-centric framework for flexible business process management; engagement in online communities; organisational semiotics methods to assess organisational readiness for internal use of social media; social media in the workplace; economics of pair programming revisited; social traps of agile methods; metadata exploitation in large-scale data migration projects; collaboratively assessing information quality on the web; reputation management in social commerce communities; E-Business adoption research; a preliminary information theory of difference; replacement of project manager during IT projects-a research agenda; a simulation study of project management and collaborative information technologies; the role of business information visualization in knowledge creation; effects of narrative structure and salient decision points in role playing games; adoption of pervasive e-health solutions; security practices and regulatory compliance in the healthcare industry; the role of demographic characteristics in health care strategic security planning; tailoring software process capability/maturity models for telemedicine systems; understanding dynamic collaboration in teleconsultation; the pathway to enterprise mobile readiness; investigating the role of social media and social capital; exploring 311-driven changes in city government; preventing the gradual decline of shared service centers; developing a conceptual framework for evaluating public sector transformation in the digital era; the impact of cultural differences on cloud computing ecosystems in U.S. and China; an examination of the impact of service climate on service productivity in the organizational context; information systems facilitating groundwater sustainability management; keeping electronic medical records secure and portable; the emerging role of robotics in home health care; information quality assessment technique to evaluate the information exchange; boundary dialogues in user-centric innovation; towards a meditation brain state model using electroencephalographic data; design method requirements for agile system of systems; design and evaluation of a socially enhanced classroom blog to pomote student learning in higher education; it's not all about the music: user preference for musicians on facebook; knowledge seeking and knowledge sharing in a nonprofit organizational partner network: a social network analysis; the mediating role of adaptive personalization in online shopping; exploring the temporal nature of sociomateriality from a work system perspective; sociomateriality as radical ontology; information security management; meeting global business information requirements with enterprise resource planning; knowledge sharing in social networking sites for e-collaboration; applying cognitive principles of similarity to data integration-the case of SIAM; reference model in design science research to gather and model information; impact of online content on attitudes and buying intentions; prospect theory and information security investment decisions; using domain knowledge to facilitate cyber security analysis; conceptualizing data security threats and countermeasures in the E-Discovery process with misuse cases; an empirical analysis of an individual's 360 degree protection from file and data loss; analysis of eBook lending: a game-theory approach; facilitating consumers' evaluation of experience goods and the benefits for vendors; three-factor Model vs. Two-Factor Model; automating enterprise architecture documentation using an enterprise service bus; the influence of role models on students' decisions to pursue the IS major; teaching ""people networking"" skills for CIS students; a case of bias in teaching, grading, and plagiarism; a relational view of accounting information sharing; reporting capabilities, financial closing time and effects on cost of equity capital; reflecting on the role of IT and IT research in healthcare; social media around the world; understanding the effects of freeriding in team dynamics; password policy effects on entropy and recall: research in progress; the role of individual characteristics on insider abuse intentions; building a methodology to assess the e-Government transformation success; optimizing freight delivery for less-than-truckload transportation; the influence of perceived information and network characteristics on the attitude towards information overload; information disclosure and generational differences in social network sites; trasactive memory systems virtual team training model; the case of open government and teaching and learning in a virtual world."
82,The proceedings contain 96 papers. The special focus in this conference is on The Move to Meaningful Internet Systems. The topics include: ASSERT4SOA: Toward Security Certification of Service-Oriented Applications; allowing Citizens to Self-compose Personalized Services: A Cloud Computing Model; towards Large-Size Ontology Alignment by Mapping Groups of Concepts; performance Testing of Semantic Publish/Subscribe Systems; modeling and Use of an Ontology Network for Website Recommendation Systems; the Open Innovation Paradigm and the Semantic Web: An Ontology for Distributed Product Innovation; SMILE – A Framework for Semantic Applications; AVYTAT’10 - PC Co-chairs Message; Formalizing High-Level Service-Oriented Architectural Models Using a Dynamic ADL; OTM’10 Keynote; a Framework for Run-Time Behavioural Service Adaptation in Ubiquitous Computing; towards Adaptive Service Ecosystems with Agreement Technologies; ADI’10 - PC Co-chairs Message; defeasible Contextual Reasoning in Ambient Intelligence: Theory and Applications; RDF Containers – A Framework for the Integration of Distributed and Heterogeneous Applications; a Context-Based Schema Integration Process Applied to Healthcare Data Sources; data Integration Systems for Scientific Applications; collaborative Environmental In Situ Data Collection: Experiences and Opportunities for Ambient Data Integration; Incremental Validation of Models in a MDE Approach Applied to the Modeling of Complex Data Structures; towards a Generic Infrastructure for Sustainable Management of Quality Controlled Primary Data; EI2N’10 - Keynote; DATAVIEW’10 - PC Co-chairs Message; framework for Experimentation with Ambient Wall Displays; a Characterization of the Layout Definition Problem for Web Search Results; processGene View: An Integrated Visualization of Business Process Models; outlines for Dynamic Visualization of Semantic Web Data; literacy and Data Modeling.
