"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","DOI","Link","Abstract","Author Keywords","Index Keywords"
"Walter D.; Lavery M.D.; Fleishman B.","Walter, Deborah (57616020500); Lavery, Megan Diane (57450714300); Fleishman, Benjamin (57450355700)","57616020500; 57450714300; 57450355700","Global Engineering Competencies Learned Through Virtual Exchange Project Collaboration","2021","ASEE Annual Conference and Exposition, Conference Proceedings","","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124516242&partnerID=40&md5=7d158f94e2cdad406633e51082010d48","A virtual exchange involving 133 undergraduate STEM students in the US, Lebanon, Denmark, and Nepal was completed in the Summer of 2020. The goal of the program was to guide students through a collaborative design process where they experience working productively with people whose cultural backgrounds were different from their own. Groups of 4-5 students worked with a facilitator over 5-6 weeks. The course has an asynchronous and synchronous component to accommodate different time zones and schedules. A series of 5 video lectures guided students' learning along the design path. The students were directed to download a set of notes with blanks and encouraged to actively listen by filling in the notes while watching the lecture. The length of the video lectures ranges from 8 - 32 minutes. A set of 5 individual assignments (in the form of on-line quizzes) were created to support the asynchronous activities. After watching the video lecture, students are directed to complete a quiz. Responses to short-answer questions covered in the lecture and reflective exercises are collected. Students are given 1 week to complete the activity which can be asynchronously. For each of the 5 weeks the student team also worked on group assignments. Models and templates of the group assignments were created to help the student teams respond to the open-ended design process. The culminating activity for the team was to create a video presentation describing their healthcare innovation and the supporting research collected during the program. IRB approval was obtained, and subject informed consent was requested as a prerequisite to participation in this study. A global competency survey regarding “Cross-Cultural Collaboration” was requested from each participating student at the beginning and end of the program. Students were invited to participate in a one-on-one interview, and artifacts associated with the design process (both individual and group assignments) were collected. This paper discusses the students' assessment of the growth in global competency and collaboration skills. the transition from an in-person to a remote learning program, lessons learned from virtual exchange, and suggestions for future program designs. © American Society for Engineering Education, 2021","","E-learning; Education computing; Engineering education; Collaborative design process; Denmark; Design-process; Global engineering competencies; Group assignments; Individual assignments; Lebanon; Project collaboration; Student teams; Video lectures; Students"
"Gabet M.; Grenier G.; Cao Z.; Fleury M.-J.","Gabet, Morgane (57212253509); Grenier, Guy (35726856600); Cao, Zhirong (57208229812); Fleury, Marie-Josée (35610641900)","57212253509; 35726856600; 57208229812; 35610641900","Implementation of three innovative interventions in a psychiatric emergency department aimed at improving service use: A mixed-method study","2020","BMC Health Services Research","20","1","854","","","","10.1186/s12913-020-05708-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090888365&doi=10.1186%2fs12913-020-05708-2&partnerID=40&md5=fccd4dd6c01438b29cb0e3a19bd052fa","Background: Emergency department (ED) use is often viewed as an indicator of health system quality. ED use for mental health (MH) reasons is increasing and costly for health systems, patients, and their families. Patients with mental disorders (MD) including substance use disorders (SUD) and suicidal behaviors are high ED users. Improving ED services for these patients and their families, and developing alternatives to ED use are thus key issues. This study aimed to: (1) describe the implementation of three innovative interventions provided by a brief intervention team, crisis center team, and family-peer support team in a Quebec psychiatric ED, including the identification of implementation barriers, and (2) evaluate the impacts of these ED innovations on MH service use and response to needs. Method: Using mixed methods with data triangulation, the implementation and impact of the three above-named ED interventions were studied. Quantitative data were collected from 101 participants (81 patients, 20 family members) using a user questionnaire and patient medical records. Qualitative data were gathered from focus groups (n = 3) with key intervention staff members (n = 14). The user questionnaire also included open-ended questions. Descriptive, comparative and content analyses were produced. Results: Key implementation issues were identified in relation to system, organizational and patient profiles, similar to results identified in most studies in the ED implementation literature aimed at improving responsiveness to patients with MD. Results were encouraging, as the innovations had a significant impact for improved patient MH service use and adequacy of care. Services also seemed adapted to patient profiles. Family members were grateful for the help received in the ED. Conclusions: Before implementing innovations, managers need to recognize the basic issues common to all new healthcare interventions: the need for staff training and strong involvement, particularly among physicians, development of collaborative tools especially in cases of potential cultural clash between staff and organizations, and continuous quality assessment. Future research needs to confirm the pertinence of these interventions, especially use of family-peer support teams in ED, as a highly innovative intervention. Broader ED strategies could also be deployed to improve MH services and decrease ED use for MH reasons.  © 2020 The Author(s).","Brief intervention team; Crisis center team; Emergency department use; Family-peer support team; Implementation; Innovation; Mental disorders; Patient outcomes","Adult; Crisis Intervention; Emergency Service, Hospital; Female; Focus Groups; Humans; Male; Mental Disorders; Mental Health Services; Middle Aged; Quebec; Surveys and Questionnaires; Young Adult; adult; crisis intervention; female; hospital emergency service; human; information processing; male; mental disease; mental health service; middle aged; Quebec; questionnaire; young adult"
"Jones H.M.; Curtis F.; Law G.; Bridle C.; Boyle D.; Ahmed T.","Jones, Helene Markham (57211341717); Curtis, Ffion (57191611919); Law, Graham (7007065798); Bridle, Christopher (8759905200); Boyle, Dorothy (36898102200); Ahmed, Tanweer (57213239767)","57211341717; 57191611919; 7007065798; 8759905200; 36898102200; 57213239767","Evaluating follow-up and complexity in cancer clinical trials (EFACCT): An eDelphi study of research professionals' perspectives","2020","BMJ Open","10","2","034269","","","","10.1136/bmjopen-2019-034269","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079794026&doi=10.1136%2fbmjopen-2019-034269&partnerID=40&md5=8a895136429a70282edcfded1107f51c","Objectives To evaluate patient follow-up and complexity in cancer clinical trial delivery, using consensus methods to: (1) identify research professionals' priorities, (2) understand localised challenges, (3) define study complexity and workloads supporting the development of a trial rating and complexity assessment tool (TRACAT). Design A classic eDelphi completed in three rounds, conducted as the launch study to a multiphase national project (evaluating follow-up and complexity in cancer clinical trials). Setting Multicentre online survey involving professionals at National Health Service secondary care hospital sites in Scotland and England varied in scale, geographical location and patient populations. Participants Principal investigators at 13 hospitals across nine clinical research networks recruited 33 participants using pre-defined eligibility criteria to form a multidisciplinary panel. Main outcome measures Statements achieving a consensus level of 70% on a 7-point Likert-type scale and ranked trial rating indicators (TRIs) developed by research professionals. Results The panel developed 75 consensus statements illustrating factors contributing to complexity, follow-up intensity and operational performance in trial delivery, and specified 14 ranked TRIs. Seven open questions in the first qualitative round generated 531 individual statements. Iterative survey rounds returned rates of 82%, 82% and 93%. Conclusions Clinical trials operate within a dynamic, complex healthcare and innovation system where rapid scientific advances present opportunities and challenges for delivery organisations and professionals. Panellists highlighted cultural and organisational factors limiting the profession's potential to support growing trial complexity and patient follow-up. Enhanced communication, interoperability, funding and capacity have emerged as key priorities. Future operational models should test dialectic Singerian-based approaches respecting open dialogue and shared values. Research capacity building should prioritise innovative, collaborative approaches embedding validated review and evaluation models to understand changing operational needs and challenges. TRACAT provides a mechanism for continual knowledge assimilation to improve decision-making. © Author(s) (or their employer(s)) 2020. Re-use permitted under CC BY-NC. No commercial re-use. See rights and permissions. Published by BMJ.","cancer research; Delphi methods; follow-up; protocol complexity; Singerian Inquiry; workforce planning","Adult; Clinical Trials as Topic; Delphi Technique; England; Female; Follow-Up Studies; Humans; Male; Middle Aged; Neoplasms; Scotland; State Medicine; Surveys and Questionnaires; adult; cancer research; capacity building; clinical article; clinical research; controlled study; Delphi study; embedding; England; female; follow up; funding; human; Likert scale; male; multicenter study; national health service; occupation; organization; outcome assessment; review; Scotland; secondary care center; workforce; clinical trial; clinical trial (topic); Delphi study; follow up; middle aged; national health service; neoplasm; questionnaire"
"","","","32nd International Conference on Information System 2011, ICIS 2011, Volume 3","2011","International Conference on Information Systems 2011, ICIS 2011","3","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884621452&partnerID=40&md5=e1e73ebd1a97319e6e5c097eadaa9f20","The proceedings contain 299 papers. The special focus in this conference is on Information System. The topics include: Situation awareness through social collaboration platforms in distributed work environments; attaining and enacting green leadership; culture and organizational computer-mediated communication; inter-organizational effects on sociomaterial imbrications and change; intrusiveness of online video advertising and its effects on marketing outcomes; dynamic personal feedback in acquiring information to manage your health; emotions as predictors of performance in virtual worlds; a profiling model for readmission of patients with congestive heart failure; information sharing in NHS polyclinics; integrating self-service kiosks into healthcare delivery organizations; an empirical study with strategic alignment in the healthcare industry; improving knowledge-intensive health care processes beyond efficiency; understanding the drivers and outcomes of healthcare organizational privacy responses; IT-based capabilities, service innovation, and quality in health care; microprocesses of healthcare technology implementation under competing institutional logics; understanding the impact of internet media on patient-clinician trust; measuring emotions in electronic markets; social networking and extending social capacity; an entropy index for multitasking behavior; an instrument for measuring SOA maturity; computer-mediated social networks and environmental behavior; an effective and efficient subpopulation extraction method in very large social networks; reputation and preemption strategies in competing technology networks; software adoption under network effects; consumer product consideration and choice at purchase time at online retailers; business values of community source; learning from peers on social media platforms; code architecture and open source software development; the price and quantity of IT-related intangible capital; the impact of third-party information on the dynamics of online word-of-mouth and retail sales; the roles of agency and artifacts in assembling open data complementarities; the role of culture and personality in the leadership process in virtual teams; user satisfaction of E-government procurement systems in developing countries; differences in knowledge seeking ties between the US and Singapore students; modeling quality dynamics in IT services management; herding behavior as a network externality; exploring information systems control alignment in organizations; the user-centered nature of awareness creation in computer-mediated communication; critical factors affecting compliance to campus alerts; substance and influence in brand communities; the attitude construct in IT adoption research - a scientometric analysis; examining trends of technology diffusion theories in information systems; management of change to ensure IS success; information systems development as a social process; testing tournament selection in creative problem solving using crowds; understanding online payment method choice; the influence of demands and resources on emotional exhaustion with the information systems profession; CIO survival and the composition of the top management team; social capital in the ICT sector - a network perspective on executive turnover and startup performance; activity awareness as a means to promote connectedness, willingness to do additional work, and congeniality; effects of media synchronicity on communication performance; comprehension of online consumer-generated product review; the role of product recommendation agents in collaborative online shopping; three classes of attitude and their implications for IS research; gender differences in virtual collaboration on a creative design task; toward deep understanding of persuasive product recommendation agents; understanding is education quality in developing countries; SYSCO's best business practices (BBP); public expenditure management through khajane - an integrated financial MIS; arguments for the adoption of a heuristic approach to IS research; information systems collaborations as boundary spanning; towards an evidence-based research approach in information systems; grounding theory from Delphi studies; PLS marker variable approach to diagnosing and controlling for method variance; benefits from using continuous rating scales in online survey research; evaluating two automatic methods for classifying information technology concepts; exploring interpersonal relationships in security information sharing; explaining the difference between how security cues and security arguments improve secure behavior; the impact of security practices on regulatory compliance and security performance; personal health records in cloud computing environments; empirical analysis of data breach litigation; extending UTAUT to predict the use of location-based services; project and organizational antecedents of effort withholding in IT project teams; modeling and checking business process compliance rules in the financial sector; participation in open source communities and its implications for organizational commitment; an empirical test of the theory of relationship constraints; an approach for portfolio selection in multi-vendor IT outsourcing; the essential dynamics of information infrastructures; a framework for investigating open innovation processes in ISD; four facets of a process modeling facilitator; a conceptual life event framework for government-to-citizen electronic services provision; perceptual congruence between IS users and professionals on IS service quality - insights from response surface analysis; dynamic service level agreement management for efficient operation of elastic information systems; impact of business intelligence and IT infrastructure flexibility on competitive performance; knowledge refinement effectiveness; towards a framework for measuring knowledge management service productivity; measuring the business value of online social media content for marketers; a data-centric perspective for workflow model management; protecting privacy against regression attacks in predictive data mining; the effects of job design on employees' knowledge contribution to electronic repositories; BI and CRM for customer involvement in product and service development; an effective method of discovering target groups on social networking sites; environmental scanning for customer complaint identification in social media; the effects of user identity and sanctions in online communities on real-world behavior; F-commerce and the crucial role of trust; when artificial feedback hurts - empirical evidence from community-based configuration systems; knowledge collaboration in distributed practice communities; a social identity perspective on participation in virtual healthcare communities; boundary-spanning documents in online communities; network stability and social contagion on the mobile internet; digital complementary assets; trusting social location technologies and interactions; telepresence in business meetings; exploring the role of online social network dependency in habit formation; a sociomateriality practice perspective of online social networking; automatic reputation assessment in Wikipedia; strategic decision support for smart-leasing infrastructure-as-a-service; the impact of different types of satisfaction on C2C platform loyalty; automated negotiations under uncertain preferences; nurturing sales entrepreneurship in consumer-to-consumer marketplaces; competing across different channels for personalized service; the influences of negativity and review quality on the helpfulness of online reviews; winner determination of open innovation contests in online markets; a dual view on IT challenges in corporate divestments and acquisitions; managing the IT integration of acquisitions by multi-business organizations; management commitments that maximize business impact from IT; institutional work and artifact evolution; four perspectives on architectural strategy; a coevolutionary journey of strategic knowledge management alignment; use of social media in disaster management; unpacking the duality of design science; acquiring IT competencies through focused technology acquisitions; IT artifacts and the state of IS research; senior scholars' forum and online social networking and citizen engagement.","",""
"","","","Annual conference of the Italian Chapter of AIS, 2020","2021","Lecture Notes in Information Systems and Organisation","51 LNISO","","","","","304","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118927845&partnerID=40&md5=765a85f73b86c8a831c7be7cd7d132c5","The proceedings contain 19 papers. The special focus in this conference is on Italian Chapter of AIS. The topics include: How Distributed Ledger Technology Can Influence Trust Improving Data Sharing in Collaborative Networks; cultural Proximity and Firm Innovation: The Moderator Role of Digital Technologies; crowdfunding as Entrepreneurial Investment: The Role of Local Knowledge Spillover; It’s Not Only What You Say but “How” You Say It: Linguistic Styles and ICOs Success; exploring Innovation in a Digital World: An Introduction; exploring Socioemotional Wealth Debate: A Bibliometric Analysis; does Self-attribution Impact on Investor Perception About Cryptocurrency Market Efficiency? The Mediating Role of Overconfidence; exploring Sustainable Value Creation of Industry 4.0 Technologies Within the Socio-technical Perspective: A Meta-review; digital Metamorphosis Competencies as a Human-Centric Approach to Digital Transformation: An Instrumental Collective Case Research; Open Innovation for Digital Transformation in Low- and Medium-Tech SMEs: Analysis of Pre-competitive Collaborative Projects; exploring the Discourse on Digital Transformation in the Domain of Non-profit Organisations; retweeting in the Age of Fake News - A Cognitive Style Perspective; the Use of Social Media for Electoral Purposes. The Case of the Italian Election in 2018; Mobile Application for Healthcare: The Case of COVID-19 in MobileApp; social Media Use and Organizational Identity: A Case Study; AI-Powered Curricula Selection: A Neural Network Approach Suited for Small and Medium Companies.","",""
"","","","International Conference on Information Systems, ICIS 2013, Volume 1","2013","International Conference on Information Systems (ICIS 2013): Reshaping Society Through Information Systems Design","1","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052982291&partnerID=40&md5=a72047d1546c4f8b98d68e9a7af9e242","The proceedings contain 320 papers. The special focus in this conference is on Information Systems. The topics include: Computing requirements in open source software projects; a comparison of nonlinear pricing preference models for digital services; a computational approach to detecting and assessing sustainability-related communities in social media; a conceptualisation of management situations relevant for collaborative is research projects; a conceptualization of complexity in IS-driven organizational transformations; information security collective efficacy and vulnerability; a cross-sectional and temporal analysis of information consumption on twitter; a measurement model for investigating digital natives and their organisational behaviour; a model of product design and information disclosure investments; a problem-solving perspective on governance and product design in open source software projects; a qualitative approach to examine technology acceptance; a sensemaking approach to tablet users accommodating practices; a systems approach to countermeasures in credibility assessment interviews; aligning business and it strategies in multi-business organizations; an empirical examination of users information hiding in a crowdfunding context; an empirical investigation of a user-centric typology of innovation for evolving information systems products; an exploration of group information security compliance; an information quality evaluation framework of object tracking systems; an ontology artifact for information systems sentiment analysis; visualising perspectives of business and information systems; attention trade-off between two types of user contributions; the effects of user- and marketer-generated content on purchase decision processes; boundary spanning through enterprise social software; investment management systems and new institutional logics for regulatory compliance; bundling of software products and services to fight against piracy; capturing multi-stakeholder needs in customer-centric cloud service design; an empirical analysis of the impact of formal controls in strategic outsourcing contracts; cloud computing providers unrealistic optimism regarding it security risks; cognitive biases in new technology appropriation; collective intelligence in market-based social decision making; comparing peer influences in large social networks an empirical study on caller ringback tone; computer mediated social ties as predictors of SNS usage continuance; conceptualizing unexpected events in IT projects; coordinating one-to-many concurrent negotiation for service provision; counteracting the negative effect of form auto-completion on the privacy calculus; creating engaging student to student engagement in an online class; unpacking the building blocks of crowdsourcing collaboration processes; defining boundaries of web ads perceptual fluency effect; designing business models for platform as a service; designing e-services for an ageing society; designing the modern ICT curriculum; developing a procedure model for business process standardization; developing and measuring IS scales using item response theory; digital traces of information systems; discursive meaning creation in crowdfunding; driving innovation and knowledge management using crowdsourcing; interplay of EA design factors, strategy types, and environments; effective sentiment analysis of corporate financial reports; eliminating failure by learning from it systematic review of is project failure; navigating the ambiguity of materiality through collective design; enhancing shared understanding in collaborative online shopping; evaluating a new pattern development process for interface design; evaluating the quality of technology-mediated learning services; evolving the modular layered architecture in digital innovation; executive doctorate programs and the role of the information systems discipline; exploring foundations for using simulations in is research; exploring the customer perspective of agile development; exploring the effect of arousal and valence on mouse interaction; fit between knowledge transfer complexity and media capability; the impact of information pricing strategy on the pattern and effectiveness of word-of-mouth via social media; from open source to commercial software development - the community based software development model; some thoughts on technology implementation practice; a point of concern to IS use models' validity; how channel choice and service failure influence customer satisfaction; how customers trust mobile marketing applications; how E-consumers integrate diverse recommendations from multiple sources; how team cohesion leads to attitude change in the context of ERP learning; understanding reconfigurations of information systems and organizations in the Norwegian health sector; identifying patterns of idea diffusion in innovator networks; the missing link between it affordances and institutions for better health care in developing countries; impacts of creolization on trust and knowledge sharing in it-enabled global services sourcing; impacts of IT acceptance and resistance behaviors; implications of monitoring mechanisms on bring your own device (BYOD) adoption; improved medication compliance through health IT; improving medical decision-making using electronic health record systems; improving the semantics of conceptual-modeling grammars; inciting networks effects through platform authority; individual values for protecting identity in social networks; individualization of information systems - analyzing antecedents of IT consumerization behavior; information architecture for healthcare organizations; its antecedents and mediating effects on security compliant behavior; information system strategy for opportunity discovery and exploitation; information systems development outsourcing; institutionalization and the effectiveness of enterprise architecture management; internet use and well-being of young adults; investigating mobile messaging in healthcare organizations; different firm types, different alignment configurations; developing valid measures through CFA-based MTMM analysis; IT-enabled performative spaces in gender segregated work; knowledge contribution motivators an expectation-confirmation approach; legitimating user participation in mature organisations- exploring social media adoption in a financial services organization; an analysis of the impact of mobile micro-blogging on communication and decision-making; mobile app portfolio management and developers performance; mobile applications and access to personal information; mobile commerce in the new tablet economy; multi-agent based information systems for patient coordination in hospitals; network analysis for predicting academic impact; network diversity and social cohesion in creative performance; on the importance of organisational culture and structure in business process maturity; one-way mirrors and weak-signaling in online dating; online and offline sales channels for enterprise software; online health information use by disabled people; optimal information technology service pricing and capacity decision under service-level agreement; optimal location of charging stations in smart cities; organizational learning and the error of fixed strategies in IT innovation investment evaluation; pathways to value from business analytics; patients adherence to health advice on virtual communities; peer-based quality assurance in information systems development; their effect on extracurricular work behaviors among IT professionals; success and reciprocity on crowdfunding platforms; predictive validity and formative measurement in structural equation modeling; preventive adoption of information security behaviors; understanding factors contributing to the escalation of software maintenance costs; privacy controls and content sharing patterns of online social network users; psychological empowerment of patients with chronic diseases; purposive selection and the quality of qualitative IS research; quality-adjusted consumer surplus for online labor markets with asymmetric information; quantifying the dynamic sales impact of location-based mobile promotion technologies; is-enabled political decision support with scenario analyses for the substitution of fossil fuels; information technologies and the possibility for imagination; roles of trust in privacy assurance and perceived disease severity on personal health information disclosure; selecting project management methodologies for business intelligence projects a value based approach; service failure complaints identification in social media; role of social distance and social norms in online referral incentive systems; social media and citizen social movement process for political change; software developers' online chat as an intra-firm mechanism for sharing ephemeral knowledge.","",""
"Jibiki T.; Nishimura H.; Sengoku S.; Kodama K.","Jibiki, Takaharu (57225139447); Nishimura, Hayato (57225143937); Sengoku, Shintaro (7004017854); Kodama, Kota (57201397360)","57225139447; 57225143937; 7004017854; 57201397360","Regulations, open data and healthcare innovation: A case of MSK-IMPACT and its implications for better cancer care","2021","Cancers","13","14","3448","","","","10.3390/cancers13143448","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109352054&doi=10.3390%2fcancers13143448&partnerID=40&md5=41b759f54a1b167fdb5c7cd7b3d6451a","This study investigated a case of Memorial Sloan Kettering-Integrated Mutation Profiling of Actionable Cancer Targets (MSK-IMPACT), a tumor profiling test approved by the U.S. Food and Drug Administration (FDA) in 2017, to examine what factors would contribute to healthcare innovation. First, we set the following three parameters to observe cases: (i) the FDA regulatory reforms, (ii) early application of new technologies, such as next-generation sequencing (NGS), to both research and clinical settings, and (iii) accumulation of open data. Then, we performed a comparative analysis of MSK-IMPACT with FoundationOne CDx and Oncomine Dx Target Test, both of which were FDA-approved tumor profiling tests launched in 2017. As a result, we found that MSK-IMPACT secures neutrality as a non-profit organization, achieves the active incorporation of basic research results, and performs superiorly in clinical operations, such as patient enrollment. On the contrary, we confirmed that FoundationOne CDx was the most prominent case in terms of the number of new drugs and expanded indications approved in which the FDA’s expedited approval programs were considerably utilized. Consequently, to uncover the full potential of MSK-IMPACT, it is suggested that more intersectoral collaborative activities between various healthcare stakeholders, in particular, pharmaceutical companies, for driving clinical development must be carried out based on an organizational framework that facilitates collaboration. © 2021 by the authorsLicensee MDPI, Basel, Switzerland.","New drug development; Next-generation sequencing (NGS); Open data; Regulatory reform; Tumor profiling test","afatinib; capecitabine; capmatinib; dabrafenib; entrectinib; larotrectinib; neratinib; olaparib; pembrolizumab; pemigatinib; pralsetinib; trametinib; vemurafenib; Article; bile duct carcinoma; bioinformatics; breast cancer; comparative study; controlled study; drug approval; drug development; drug indication; drug industry; Erdheim Chester disease; Food and Drug Administration; health care; high throughput sequencing; human; human tissue; non small cell lung cancer; oncology; ovary cancer; solid malignant neoplasm; squamous cell carcinoma; technology"
"","","","4th International Conference on Electronic Government and the Information Systems Perspective, EGOVIS 2015","2015","Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","9265","","","1","389","388","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943611259&partnerID=40&md5=78e4b228d824ad59261cca9f7de309e9","The proceedings contain 27 papers. The special focus in this conference is on Semantic Technologies in E-Government and Identity Management in E-Government. The topics include: Using the semantic web for the integration and publication of public procurement data; the ontology-based approach of the publications office of the EU for document accessibility and open data services; engineering semantic web services for government business processes automation; enhancing public digital identity system (SPID) to prevent information leakage; encryption-based second authentication factor solutions for qualified server-side signature creation; learning from the cases of Russia and Italy; towards a model of client-driven access to public e-services; collaborative innovation in the public sector a case of the Brazilian federal government; concept of Estonian government cloud and data embassies; open innovation and social participation; open innovation for citizen coproduction; analyzing suspicious medical visit claims from individual healthcare service providers using K-means clustering; predictive models on tax refund claims - essays of data mining in Brazilian tax administration; dynamic skill gap analysis using ontology matching; semi-automatic methodology for compliance checking on business processes; open government data licensing framework; an untapped potential for political participation and civic engagement; elliptic curve array ballots for homomorphic tallying elections; proposal for effective planning of cooperation activities in a company; a lazy approach for filtering parliamentary documents and relations between marketing and innovation in Brazilian universities.","",""
"Graham Y.N.H.; Gerrard D.; Laight S.; Brown R.; Keith S.; Hayes C.","Graham, Yitka N. H. (56364472700); Gerrard, David (57205747975); Laight, Samantha (57218354031); Brown, Rebecca (57220816860); Keith, Sarah (57218354210); Hayes, Catherine (56701890500)","56364472700; 57205747975; 57218354031; 57220816860; 57218354210; 56701890500","More than medication: Evaluating the role of the pharmacist independent prescriber in a community team for learning disabilities and behaviours deemed to be challenging","2020","British Journal of Learning Disabilities","48","3","","232","241","9","10.1111/bld.12323","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088890459&doi=10.1111%2fbld.12323&partnerID=40&md5=d70f7f7769b8fab7aa3338fed120dc84","Pharmacists are an important source of support for people with learning disabilities, healthcare professionals and carers. Pharmacists can support carers and healthcare professionals to manage medicines in line with stopping over-medication of people with a learning disability, autism or both principles. Healthcare staff and carers were interviewed to see how they felt about working with a pharmacist and how this helped them to look after people with learning disabilities. Healthcare professionals and carers felt that the pharmacist was very helpful and listened to them. Abstract: Background The issues surrounding the prescribing and monitoring of medications for people with learning disabilities and behaviours deemed to be challenging, and are complex in their management for patients, healthcare professionals and carers. The aim of the study was to explore the impact of the pharmacist independent prescriber on a medication clinic for people with learning disabilities and challenging behaviours from the perspectives of healthcare professionals and carers in a UK mental health Trust setting. Materials and Methods Qualitative methods were used to provide an understanding of the participants' interactions with the pharmacist in the context of the medication clinic. Individual, semi-structured interviews were carried out with staff and carers, audio-recorded and transcribed verbatim. A thematic analysis was carried out to identify themes which illuminated the participants' experiences. Recruitment took place December 2017–August 2018. Results Nine participants took part (six staff and three full-time carers). Eight themes were constructed from the data: five from staff and three from the carer cohort: being open to innovation and change in collaborative practice, challenging traditional norms in collaborative approaches to person-centred care, proactive empowerment via maximisation of expertise and resources, supporting and empowering informed decision-making, encouraging collaborative debate around medication, establishing authentic and interactive dialogue, gaining trust of the pharmacist independent prescriber's role in the management of patients and feeling empowered to challenge ambiguity and inconsistency in prescribing practice. Conclusion The pharmacist independent prescriber is a valued asset, with high levels of interaction between all staff, carers and an integral aspect of services provided. © 2020 The Authors. British Journal of Learning Disabilities published by John Wiley & Sons Ltd.","care management; community care; learning (intellectual) disabilities; pharmaceutical treatment",""
"Jain N.; Reid T.; Akash K.; Yuh M.; Hunter J.","Jain, Neera (26534391000); Reid, Tahira (36133661700); Akash, Kumar (57194415519); Yuh, Madeleine (57899798400); Hunter, Jacob (57212351059)","26534391000; 36133661700; 57194415519; 57899798400; 57212351059","Enabling Human-Aware Autonomy Through Cognitive Modeling and Feedback Control","2023","Cyber–Physical–Human Systems: Fundamentals and Applications","","","","91","124","33","10.1002/9781119857433.ch5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165087131&doi=10.1002%2f9781119857433.ch5&partnerID=40&md5=b812d2ac814b945ee9626151192f154e","Across many sectors, ranging from manufacturing to healthcare to transportation, there is growing interest in the potential impact of automation that is truly collaborative with humans. Realizing this impact, though, rests on first addressing the fundamental challenge of designing automation to be aware of, and responsive to, the human with whom it is interacting. While a significant body of work exists in intent inference based on human motion, a human's physical actions alone are not necessarily a predictor of their decision-making. Indeed, cognitive factors, such as trust and workload, play a substantial role in their decision making as it relates to interactions with autonomous systems. While these factors have long been studied by cognitive psychologists and human factors experts, consideration of them in the context of closed-loop interactions between humans and autonomous systems remains a nascent area of research. In this chapter, parameterized and data-driven modeling frameworks are presented for quantifying input–output relationships as they relate to dynamic cognitive states, particularly human trust. Innovations in human subject experiment design needed to not only generate essential training data but also validate models and subsequent control policies are also discussed. The third topic of discussion is the design of algorithms to govern closed-loop interactions based on calibration of human cognitive states. Finally, the chapter concludes with a discussion of open challenges and opportunities for further investigation on these topics. © 2023 by The Institute of Electrical and Electronics Engineers, Inc. All rights reserved.","Adaptive automation; Cognitive modeling; Human interaction with automation; Human trust in automation; Human-in-the-loop; User study design",""
